technique_id,severity_bucket
T0381,104
T0800,68
T0800,105
T0800,115
T0801,141
T0804,104
T0806,87
T0806,130
T0809,87
T0811,87
T0813,10
T0813,104
T0816,62
T0816,105
T0816,115
T0830,105
T0830,115
T0830,130
T0831,62
T0831,104
T0835,141
T0836,101
T08362,34
T0837,24
T0838,104
T0839,68
T0839,105
T0839,115
T0839,130
T0840,105
T0840,115
T0842,141
T0847,62
T0851,130
T0856,104
T0856,130
T0856,141
T0857,68
T0857,105
T0857,115
T0858,62
T0862,68
T0867,87
T0867,105
T0867,115
T0873,105
T0873,115
T0874,87
T0877,141
T0879,34
T0879,62
T0881,68
T0882,87
T0885,87
T0885,105
T0885,115
T0887,87
T0887,105
T0887,115
T0889,34
T0889,130
